title,name,way,layout,size,zone,position,location,money,subway
可月付 ,天通苑地铁站附近,朝南主卧独卫,配置齐全,天通苑北一区,合租主卧,2户合租,15㎡,昌平,天通苑,朝南,2500,天通苑站
亚运村·安苑北里·中楼层·4居室·次卧2,安苑北里,合租主卧,2户合租,15㎡,朝阳,惠新西街,朝北,2350,惠新西街北口站
可月付 一号线梨园城铁 物美大卖场 梨花园次卧,梨花园二期,合租次卧,3户合租,15㎡,通州,梨园,朝南北,1350,梨园站
VR房源嘉浩别墅捡漏大独栋,自带私家泳池,客厅9米挑空,环绕,嘉浩国际商住别墅城,整租,4室2厅,460㎡,顺义,中央别墅区,朝南,45000,无
梨园地铁 电梯房 主卧独卫 精装修 三家两卫 定期保洁,梨园小镇,合租主卧,3户合租,20㎡,通州,梨园,朝南,2500,梨园站
六号线 S1线金安桥 桥户营地铁站 迎晖南苑小区 小一居室,迎晖南苑,合租主卧,2户合租,70㎡,门头沟,永定,朝东,2500,无
缘溪堂 7室6卫2厅679.85平豪华装修150000元/月,缘溪堂,整租,7室2厅,679㎡,海淀,军博,朝南北,150000,公主坟站
东恒时代二期 1室1卫1厅 73平精装修 8800元/月,东恒时代二期,整租,1室1厅,73㎡,朝阳,四惠,朝南,8800,四惠站
押一付一 梨园城铁 贵友大厦 主卧带阳台,葛布店东里,合租主卧,3户合租,20㎡,通州,梨园,朝南,1450,梨园站
中央别墅区莱蒙湖南北3室二次装修 单层面积大 房况好,品质装,莱蒙湖,整租,3室3厅,315㎡,顺义,中央别墅区,朝南,38000,无
可月租一居随时入住中天国际中科院北辰字节跳动亚投行林萃公寓,中天国际公寓,整租,1室1厅,47㎡,朝阳,北沙滩,朝北,5800,北沙滩站
VR真房源【誉天下】类独栋,装修好,上三下一,五居室,誉天下,整租,5室2厅,400㎡,顺义,中央别墅区,朝西,45000,无
八通线一号线梨园地铁站 贵友大厦附近 新城阳光小区主卧出租。,新城阳光,合租主卧,3户合租,18㎡,通州,梨园,朝南,1750,梨园站
实景拍摄 中海望京府精致装修4房2厅2卫,全屋地暖随时入住,中海·望京府,整租,4室2厅,138㎡,朝阳,来广营,朝南,25000,马泉营站
出租 龙潭湖 左安浦园 7000元 2室 东北 有钥匙精装修,左安浦园,整租,2室1厅,85㎡,东城,左安门,朝东北,7100,方庄站
颐源居 4室2厅2卫 带储藏间 客厅带阳台,颐源居,整租,4室2厅,175㎡,海淀,公主坟,朝南北,29000,公主坟站
(别墅急租)独栋看这里 精装全齐拎包住 随时看房,保利垄上,整租,4室3厅,545㎡,昌平,小汤山,朝东,25000,无
VR房源龙湖联排别墅,家具齐全,私家,4卧朝南,稳定长期租,龙湖滟澜山,整租,5室3厅,261㎡,顺义,中央别墅区,朝南,45000,无
VR真房源丽高王府 精装修2居室 家具家电齐全 走路上德威国,丽高王府公寓,整租,2室2厅,130㎡,顺义,中央别墅区,朝东南,18000,无
中粮祥云国际生活区 2室1厅2卫,中粮祥云国际生活区住宅,整租,2室1厅,116㎡,顺义,后沙峪,朝南北,13000,无
西钓鱼台嘉园3室2卫2厅123.83平精装修17000元/月,西钓鱼台嘉园,整租,3室2厅,123㎡,海淀,航天桥,朝南,17000,西钓鱼台站
紫金长安 3室2厅2卫 带储藏间 带飘窗,紫金长安,整租,3室2厅,178㎡,海淀,五棵松,朝南北,28000,五棵松站
出租 翠成馨园 3室 西北 简装修,翠成馨园,整租,3室2厅,97㎡,朝阳,垡头,朝西北,5400,垡头站
翠微路4号院 2室1厅1卫,翠微路4号院,整租,2室1厅,49㎡,海淀,公主坟,朝东,6600,公主坟站
石门营新区七区东苑 2室1卫1厅 67平精装修3000元/月,石门营新区七区东苑,整租,2室1厅,66㎡,门头沟,永定,朝南,3000,无
VR真房源誉天下装修好 类独栋别墅 上三下一,南北通透,装修,誉天下,整租,5室3厅,384㎡,顺义,中央别墅区,朝南,32000,无
可月付 公交911 552 668沿线 南向主卧,运河西大街8号院,合租主卧,3户合租,18㎡,通州,果园,朝南北,1400,果园站
出租 人济山庄 2室 西北 精装修,人济山庄,整租,2室1厅,105㎡,海淀,紫竹桥,朝西北,13500,万寿寺站
VR真房源五居室 誉天下四期 类独栋 装修保养好 户型格局合,誉天下,整租,4室2厅,400㎡,顺义,中央别墅区,朝西,31000,无
长阳加州水郡西区三期方正户型两居室,看房方便,小区环境好,加州水郡四期,整租,2室1厅,93㎡,房山,长阳,朝西北,3500,无
良乡太平庄东里 两居室 房子是四楼 小区停车方便 集中供暖,太平庄东里,整租,2室1厅,89㎡,房山,良乡,朝南北,2900,苏庄站
VR真房源【誉天下】类独栋,纯地上,上三下一,南北通透,装修,誉天下,整租,5室2厅,380㎡,顺义,中央别墅区,朝南,32000,无
南向高层一居室懿品阁出租中科院亚投行圣熙八号地铁15号线周边,懿品阁,整租,1室1厅,47㎡,朝阳,北沙滩,朝南,6500,北沙滩站
苹果园·苹果园四区·高楼层·2居室,苹果园四区,整租,2室1厅,47㎡,石景山,苹果园,朝南,4500,苹果园站
誉天下 5室2厅3卫 品质小区 主卧朝南,誉天下,整租,5室2厅,385㎡,顺义,中央别墅区,朝南,29000,无
东三环后现代城一居出租!干净整洁,大郊亭地铁,随时看房,可谈,后现代城,整租,1室1厅,45㎡,朝阳,百子湾,朝东北,5700,大郊亭站
出租 美林香槟小镇 4室 南北 精装修,美林香槟小镇,整租,4室2厅,287㎡,顺义,中央别墅区,朝南,20000,无
房山线苏庄地铁口电梯房 家电齐全 拎包入住 业主好说话随时看,佳世苑小区,整租,3室1厅,102㎡,房山,良乡,朝南北,3500,苏庄站
优山美地B区独栋 7米落地窗 同看丽宫 棕榈滩 丽斯 滟澜山,优山美地,整租,5室3厅,597㎡,顺义,中央别墅区,朝南,55000,无
天通苑北二区 3室1卫1 朝南精装修 2600元/月,天通苑北二区,合租主卧,3户合租,30㎡,昌平,天通苑,朝南,1800,无
相寓 望京·国风北京·低楼层·4居室·主卧独卫,独立阳台,国风北京,合租主卧,4户合租,30㎡,朝阳,望京,朝南,4900,望京东站
出租 荣丰2008 1室 北 精装修,荣丰2008,整租,1室1厅,28㎡,西城,广安门,朝北,5800,达官营站
近青苗 凯文 燕西台精装三居室 家电齐全 私家车库,燕西台,整租,3室2厅,230㎡,海淀,西山,朝东,35000,无
东城区 北新桥张自忠路四合院 会所接待四合院出租,北新桥头条,整租,6室2厅,400㎡,东城,东直门,朝南,220000,北新桥站
西四环 玉泉路 玉泉新城 商品房 南北大三居 精装修 全齐,玉泉新城,整租,3室2厅,147㎡,石景山,玉泉路,朝南,13500,无
总部基地 精装修 家具齐全 房子干净 临近地铁九号线,万科蓝,整租,2室1厅,60㎡,丰台,科技园区,朝东,5900,郭公庄站
新出誉天下双拼边户,业主二次装修,家具全,新风地暖,随时可看,誉天下,整租,4室3厅,265㎡,顺义,中央别墅区,朝南,19000,无
出租 今日家园 2室 东向 简装修,今日家园,整租,2室1厅,102㎡,海淀,五棵松,朝东,8300,五棵松站
便宜甩成寿寺 方庄 文成建筑 精装修大卧室 随时看房 采光好,文成建筑,合租主卧,3户合租,22㎡,丰台,方庄,朝南,2200,成寿寺站
鼓楼南锣鼓巷新建四合院会所接待工作室出租 四合院,交道口四合院,整租,3室1厅,160㎡,东城,交道口,朝南北,55000,南锣鼓巷站
出租 金域东郡 2室 南北 精装修,金域东郡,整租,2室1厅,74㎡,大兴,亦庄,朝南北,6500,无
北宫带地铁口 京客隆超市附近 双龙南里 三家合住 主卧带阳台,双龙南里,合租主卧,3户合租,25㎡,朝阳,北工大,朝南,2700,北工大西门站
出租 世纪城三期春荫园 4室 南北向 精装修,世纪城三期春荫园,整租,4室2厅,213㎡,海淀,世纪城,朝南北,29000,火器营站
鼓楼大街什刹海新建四合院会所接待工作室出租四合院,钟楼四合院,整租,2室2厅,140㎡,东城,安定门,朝南北,28000,鼓楼大街站
果岭里 新出一层叠拼四居室 家具全 有车位,果岭里CLASS,整租,4室2厅,220㎡,朝阳,望京,朝南北,35000,无
西四环边上 郦城果岭 居家办公接待都合适 位置好诚意出租,永泰郦城果岭,整租,3室2厅,135㎡,海淀,四季青,朝南北,12800,无
东湖湾1期170平米 南北三居室 高层 装修新,东湖湾,整租,3室2厅,170㎡,朝阳,望京,朝南北,25000,东湖渠站
香江花园 国际社区 业主二次装修 首茨出租,香江花园,整租,5室3厅,451㎡,朝阳,来广营,朝南,40000,无
实拍 实价 新出房源 性价比蕞高的一套房源 可空房可全齐,万通天竺新新家园,整租,6室4厅,501㎡,顺义,天竺,朝南,35000,无
出租 紫芳园三区 2室 南 精装修,紫芳园三区,整租,2室2厅,104㎡,丰台,方庄,朝南,11000,方庄站
保真可谈!银河湾2居,社区安静环境好,居住舒适,看房方便,银河湾,整租,2室1厅,156㎡,朝阳,大山子,朝南,16300,将台站
呼家楼地铁向军北里团结湖复星国际朝阳医院核桃园大厦附近一,向军北里,整租,1室1厅,50㎡,朝阳,东大桥,朝南,5500,呼家楼站
出租 棕榈泉国际公寓 3室 西南 豪华装修,棕榈泉国际公寓,整租,3室2厅,180㎡,朝阳,朝阳公园,朝西南,33000,朝阳公园站
万泉新新家园 3室2卫2厅 137平精装修 30000元/月,万泉新新家园,整租,3室2厅,137㎡,海淀,万柳,朝南北,30000,巴沟站
西城,北京西站旁,央企次新楼盘,装修保养好,随时可入住!,红山世家,整租,1室1厅,62㎡,西城,广安门,朝西,7500,达官营站
望京南湖东园一区1室1厅,看房随时,南湖东园一区,整租,1室1厅,61㎡,朝阳,望京,朝东,6200,望京站
张自忠路地铁 华人一品 交道口 南锣鼓巷 美术馆 附近 开间,华人一品,整租,1室0厅,15㎡,东城,东四,朝南,2900,张自忠路站
观湖国际 4室3卫2厅 298平豪华装修 带车位 随时可看,观湖国际,整租,4室2厅,298㎡,朝阳,朝阳公园,朝南北,45000,无
出租 华贸公寓 1室 东向 精装修,华贸公寓,整租,1室1厅,81㎡,朝阳,大望路,朝东,16000,大望路站
实图 2000次卧 可小刀 成寿寺 中海城 房间干净 随时住,中海城香克林,合租次卧,3户合租,15㎡,朝阳,十八里店,朝西,1800,肖村站
南北通透 幸福东园 2室1厅 精装修,幸福东园,整租,2室1厅,78㎡,怀柔,雁栖,朝南北,2100,无
石门营新区七区东苑 1室1卫1厅 45平精装 2650元/月,石门营新区七区东苑,整租,1室1厅,45㎡,门头沟,永定,朝南,2650,无
优山美地(D区)户型方正卧室朝南带阳台户型通透客厅宽敞,优山美地,整租,5室3厅,561㎡,顺义,中央别墅区,朝南,50000,无
良乡行宫园四里4室1厅房子是五楼 有钥匙 随时看房 家电齐全,行宫小区,整租,4室1厅,104㎡,房山,良乡,朝南北,3500,无
出租 国锐金嵿 3室 西 豪华装修,国锐金嵿,整租,3室2厅,141㎡,大兴,亦庄,朝西,14500,荣京东街站
美式独栋,7米挑空客厅,4居室(简约美式风格)随时看!,裕京花园,整租,5室3厅,201㎡,顺义,中央别墅区,朝南,32000,无
出租 金域东郡 2室 南 精装修,金域东郡,整租,2室1厅,74㎡,大兴,亦庄,朝南,6800,无
整租 臻御府紧凑型小三居 随时看 随时住,臻御府一期,整租,3室1厅,88㎡,丰台,科技园区,朝南北,7000,无
10把钥匙随时看(优山C区,5居室,联排!)全新装修!,优山美地,整租,5室3厅,381㎡,顺义,中央别墅区,朝南,38000,无
京投银泰万科西华府|3室2厅2卫C21,京投银泰万科西华府,整租,3室2厅,138㎡,丰台,科技园区,朝南北,12500,郭公庄站
出租 鹿港嘉苑 2室 西南向 精装修,鹿港嘉苑,整租,2室2厅,106㎡,朝阳,望京,朝西南,11000,无
亦庄 林肯时代 精装家电齐全 租一家人 高档家具家电,林肯公园C区住宅,整租,3室2厅,176㎡,大兴,亦庄,朝南北,20000,亦庄文化园站
中海御鑫阁|1室0厅1卫1阳台|34.39平米|东北|7层,中海御鑫阁,整租,1室0厅,34㎡,丰台,科技园区,朝东北,4300,郭公庄站
三环 近北京西站 南站旁 4层别墅 带花圃 可接待 可谈,西宸原著玉府,整租,3室4厅,335㎡,丰台,丽泽桥,朝南北,95000,西局站
东单东四隆福寺灯市口四合院出租独院可办公会所接待四合院,隆福寺四合院,整租,9室3厅,400㎡,东城,东四,朝南,200000,中国美术馆站
18年底新翻修,一天未住,全屋地暖新风,,龙湾别墅,整租,5室3厅,350㎡,顺义,中央别墅区,朝南,28000,无
欢乐谷 翠成馨园 78平精装修 5200元/月 看房方便,翠成馨园,整租,2室1厅,78㎡,朝阳,垡头,朝南,5200,垡头站
龙湾独栋别墅 边户采光充足 花园位置大 家具家电齐全,龙湾别墅,整租,4室3厅,367㎡,顺义,中央别墅区,朝南,33000,无
顺义天竺 中粮祥云小镇水青庭,采光巨棒,临近德威青苗海嘉鼎石,中粮祥云国际生活区住宅,整租,4室3厅,230㎡,顺义,后沙峪,朝西北,30000,无
只此一套!马上成交!优山大户型别墅!随时起租!方便看!,优山美地,整租,5室3厅,448㎡,顺义,中央别墅区,朝南,44000,无
出租 万泉新新家园 4室 南北向 豪华装修,万泉新新家园,整租,4室2厅,246㎡,海淀,万柳,朝南北,45000,巴沟站
出租 美林花园 3室 西 精装修,美林花园,整租,3室2厅,235㎡,海淀,紫竹桥,朝西,23000,万寿寺站
雍和宫北新桥安定门独栋独楼会所接待独栋独楼别墅出租,雍和家园,整租,4室1厅,145㎡,东城,东直门,朝南,30000,雍和宫站
晨光家园精装三居带电梯!6号线十里堡 青年路 八里庄 石佛营,晨光家园,整租,3室1厅,110㎡,朝阳,十里堡,朝南北,8300,十里堡站
林肯时代 170平 西南向 3居室 全新房 随时看,林肯时代,整租,4室2厅,170㎡,大兴,亦庄,朝西南,20000,荣京东街站
摩码大厦一一全新精装商务间 适合办公,摩码大厦,整租,1室0厅,33㎡,朝阳,团结湖,朝南,5500,金台路站
敲黑板划重点!全新房首租!地暖 挑空 套间 采光很好随时看,嘉浩国际城,整租,5室3厅,380㎡,顺义,中央别墅区,朝南,30000,无
广渠门外大街 东便门桥 东环居苑 富力城 忠实里东区两居,东环居苑,整租,2室1厅,70㎡,东城,广渠门,朝南,5600,广渠门外站
出租 林肯公园C区住宅 1室 南向 精装修,林肯公园C区住宅,整租,1室1厅,52㎡,大兴,亦庄,朝南,5300,亦庄文化园站
出租 万年花城五期 2室 南 简装修,万年花城五期,整租,2室1厅,95㎡,丰台,看丹桥,朝南,6600,首经贸站
首次出租,南北通透四居,有车位,家具家电齐全,拎包即住,紫金长安,整租,4室2厅,184㎡,海淀,五棵松,朝南北,26500,五棵松站
首租 紧邻CBD 国贸 双井 全新三居 尊享品质 高端轻奢风,富力城B区,整租,3室2厅,151㎡,朝阳,广渠门,朝南,18000,双井站
丽泽商务区 泰禾西府大院 未租过 199平 房子干净一梯一户,泰禾西府大院,整租,6室3厅,199㎡,丰台,丽泽桥,朝东南,60000,西局站
东恒时代3期 1室 朝东 70平,东恒时代三期,整租,1室1厅,70㎡,朝阳,四惠,朝东,7800,四惠站
嘉浩别墅 南北通透 全屋地暖 采光好 花园比较大 随时看房,嘉浩别墅,整租,5室3厅,381㎡,顺义,中央别墅区,朝南,39000,无
VR真房房名都园两居室,带电梯,业主全屋新装修,家具齐全,采,名都园,整租,2室2厅,73㎡,顺义,中央别墅区,朝南北,9000,无
昆玉河畔+临近三环+欧式建筑+新出南北通透三居+家具家电齐全,玫瑰御园,整租,3室2厅,158㎡,海淀,曙光,朝南北,18500,慈寿寺站
丽泽景园南北90两居高层 空房干净 看房方便 出门商场地铁,丽泽景园,整租,2室1厅,90㎡,丰台,丽泽桥,朝南北,7000,西局站
红山大院 精装四居室 领包住 187平 两套两居室打通的,红山世家,整租,2室2厅,91㎡,西城,广安门,朝西,24000,达官营站
