,年龄,工作,婚姻状况,学历,信用违约,房贷,个人贷款,通讯类型,联系日期,联系月份,通话时间,联系次数,距离上次联系的天数,活动前联系次数,上次营销活动的结果,本次活动结果
0,30,没工作,已婚,小学,否,否,否,手机,19,十月,79,1,-1,0,未知,否
1,33,服务业,已婚,中学,否,是,是,手机,11,五月,220,1,339,4,失败,否
2,35,管理者,单身,高等教育,否,是,否,手机,16,四月,185,1,330,1,失败,否
3,30,管理者,已婚,高等教育,否,是,是,未知,3,六月,199,4,-1,0,未知,否
4,59,蓝领,已婚,中学,否,是,否,未知,5,五月,226,1,-1,0,未知,否
5,35,管理者,单身,高等教育,否,否,否,手机,23,二月,141,2,176,3,失败,否
6,36,个体户,已婚,高等教育,否,是,否,手机,14,五月,341,1,330,2,其他,否
7,39,技术人员,已婚,中学,否,是,否,手机,6,五月,151,2,-1,0,未知,否
8,41,企业家,已婚,高等教育,否,是,否,未知,14,五月,57,2,-1,0,未知,否
9,43,服务业,已婚,小学,否,是,是,手机,17,四月,313,1,147,2,失败,否
10,39,服务业,已婚,中学,否,是,否,未知,20,五月,273,1,-1,0,未知,否
11,43,行政,已婚,中学,否,是,否,手机,17,四月,113,2,-1,0,未知,否
12,36,技术人员,已婚,高等教育,否,否,否,手机,13,八月,328,2,-1,0,未知,否
13,20,学生,单身,中学,否,否,否,手机,30,四月,261,1,-1,0,未知,是
14,31,蓝领,已婚,中学,否,是,是,手机,29,一月,89,1,241,1,失败,否
15,40,管理者,已婚,高等教育,否,否,是,手机,29,八月,189,2,-1,0,未知,否
16,56,技术人员,已婚,中学,否,否,否,手机,27,八月,239,5,-1,0,未知,否
17,37,行政,单身,高等教育,否,是,否,手机,20,四月,114,1,152,2,失败,否
18,25,蓝领,单身,小学,否,是,否,未知,23,五月,250,1,-1,0,未知,否
19,31,服务业,已婚,中学,否,否,否,手机,7,七月,148,1,152,1,其他,否
20,38,管理者,离异,未知,否,是,否,手机,18,十一月,96,2,-1,0,未知,否
21,42,管理者,离异,高等教育,否,否,否,手机,19,十一月,140,3,-1,0,未知,否
22,44,服务业,单身,中学,否,否,否,未知,12,六月,109,2,-1,0,未知,否
23,44,企业家,已婚,中学,否,否,否,手机,7,七月,125,2,-1,0,未知,否
24,26,保姆,已婚,高等教育,否,否,否,手机,30,一月,169,3,-1,0,未知,否
25,41,管理者,已婚,高等教育,否,否,否,手机,20,十一月,182,2,-1,0,未知,否
26,55,蓝领,已婚,小学,否,是,否,未知,5,五月,247,1,-1,0,未知,否
27,67,已退休,已婚,未知,否,否,否,座机,17,八月,119,1,105,2,失败,否
28,56,个体户,已婚,中学,否,否,是,手机,30,七月,149,2,-1,0,未知,否
29,53,行政,已婚,中学,否,否,是,手机,21,八月,74,2,-1,0,未知,否
30,68,已退休,离异,中学,否,否,否,座机,14,七月,897,2,-1,0,未知,是
31,31,技术人员,已婚,中学,否,否,否,手机,27,八月,81,3,-1,0,未知,否
32,59,管理者,已婚,中学,否,否,否,手机,21,十一月,40,1,-1,0,未知,否
33,32,管理者,单身,高等教育,否,是,否,手机,26,八月,958,6,-1,0,未知,是
34,49,技术人员,已婚,高等教育,否,否,否,手机,13,八月,354,3,-1,0,未知,是
35,42,行政,离异,中学,否,是,否,未知,14,五月,150,1,-1,0,未知,否
36,78,已退休,离异,小学,否,否,否,座机,22,十月,97,1,-1,0,未知,是
37,32,蓝领,已婚,中学,否,是,否,手机,14,十一月,132,1,-1,0,未知,是
38,33,管理者,已婚,中学,否,是,否,手机,6,五月,765,1,342,2,失败,是
39,23,服务业,单身,高等教育,否,是,否,未知,30,五月,16,18,-1,0,未知,否
40,38,管理者,单身,高等教育,否,是,否,未知,17,十一月,609,2,101,3,失败,否
41,36,管理者,单身,高等教育,否,否,否,手机,11,八月,106,2,-1,0,未知,否
42,52,蓝领,已婚,中学,否,是,否,手机,13,五月,365,1,-1,0,未知,否
43,32,技术人员,已婚,高等教育,否,是,否,手机,13,五月,205,3,-1,0,未知,否
44,32,技术人员,单身,高等教育,否,是,否,手机,21,十一月,11,4,-1,0,未知,否
45,34,管理者,单身,高等教育,否,是,否,未知,7,五月,105,2,-1,0,未知,否
46,55,蓝领,已婚,小学,否,否,否,座机,2,二月,59,3,5,2,其他,否
47,26,蓝领,已婚,小学,否,是,否,未知,21,五月,425,1,-1,0,未知,否
48,32,企业家,单身,小学,是,是,是,手机,4,二月,204,1,-1,0,未知,否
49,61,行政,已婚,未知,否,是,否,手机,27,一月,181,1,92,1,成功,是
